Education,JobSkill,Income(K),WorkPerDay,HealthCondition,Loan
1,1,36,8,8,0
2,2,45,8,3,1
3,2,27,4,5,1
3,3,34,4,5,1
1,1,21,4,7,1
4,4,39,4,9,0
2,1,28,6,8,0
4,3,34,4,5,1
4,3,40,6,8,0
2,1,39,8,2,1
1,1,20,4,9,0
4,4,55,8,4,0
1,0,39,10,7,0
4,4,56,8,6,0
1,0,17,4,8,1
3,2,50,10,1,1
1,1,44,10,3,1
4,4,57,8,3,1
4,3,43,6,9,0
2,1,45,10,7,0
1,0,23,6,5,1
2,1,47,10,7,0
1,0,39,10,6,0
1,1,46,10,1,1
3,3,48,8,4,1
1,1,38,8,2,1
2,2,42,8,7,0
3,3,58,10,2,1
4,3,40,6,3,1
1,1,29,6,6,1
2,1,37,8,8,0
4,3,49,8,3,1
2,2,44,8,4,1
1,1,22,4,4,1
3,2,44,8,5,0
1,1,28,6,6,1
1,1,30,6,7,0
1,1,29,6,3,1
1,1,30,6,7,0
2,1,21,4,5,1
3,2,28,4,5,1
1,0,14,4,7,1
2,2,44,8,7,0
1,1,45,10,3,1
3,2,42,8,8,0
4,4,65,10,1,1
2,2,51,10,1,1
3,3,33,4,5,1
1,1,28,6,9,0
1,1,38,8,3,1
4,4,39,4,4,1
3,3,49,8,8,0
3,3,43,6,5,0
3,3,35,4,6,1
1,0,32,8,4,1
2,1,23,4,4,1
3,3,56,10,4,0
3,3,59,10,3,0
3,2,27,4,6,1
3,2,50,10,4,1
4,4,65,10,3,0
4,3,32,4,6,1
1,0,23,6,4,1
3,3,51,8,5,0
4,4,62,10,5,0
2,2,44,8,6,0
2,1,21,4,10,0
3,2,27,4,10,0
1,0,16,4,6,1
3,2,43,8,6,0
1,1,23,4,6,1
3,3,43,6,7,0
2,1,36,8,2,1
2,1,20,4,6,1
2,2,27,4,8,0
3,3,34,4,4,1
2,1,37,8,7,0
2,2,34,6,5,1
1,0,22,6,6,1
3,3,40,6,6,0
1,0,17,4,7,1
4,4,39,4,9,0
2,1,21,4,9,0
1,0,17,4,6,1
2,2,35,6,9,0
2,2,52,10,2,1
4,3,50,8,6,0
1,0,41,10,1,1
2,2,34,6,8,0
4,4,46,6,6,0
2,2,43,8,4,1
2,2,44,8,7,0
3,2,42,8,7,0
2,2,53,10,5,0
1,0,33,8,8,0
1,1,30,6,6,1
4,4,40,4,6,0
3,3,49,8,7,0
2,2,34,6,6,1
1,0,33,8,5,1
4,4,48,6,7,0
4,3,43,6,6,0
1,0,15,4,7,1
4,4,48,6,6,0
2,2,53,10,5,0
3,3,41,6,4,1
4,3,51,8,7,0
2,2,45,8,6,0
2,1,44,10,4,1
1,1,22,4,4,1
2,1,44,10,2,1
1,0,17,4,8,1
2,1,23,4,5,1
1,1,28,6,5,1
2,1,21,4,4,1
4,4,49,6,8,0
2,2,45,8,2,1
2,1,45,10,4,1
4,4,62,10,4,0
2,2,43,8,5,0
1,0,14,4,8,1
3,2,27,4,10,0
2,1,31,6,5,1
4,3,34,4,9,0
1,1,46,10,3,1
1,1,39,8,6,0
3,3,43,6,7,0
2,2,27,4,7,1
4,4,40,4,4,1
1,1,44,10,3,1
3,2,37,6,5,1
3,2,34,6,5,1
3,3,43,6,5,0
1,1,45,10,7,0
2,2,29,4,6,1
4,4,64,10,3,0
4,3,51,8,7,0
4,3,32,4,4,1
2,2,37,6,4,1
2,2,35,6,6,1
2,1,37,8,3,1
3,3,48,8,2,1
1,1,29,6,4,1
4,4,56,8,6,0
1,1,46,10,5,0
3,2,43,8,6,0
1,1,21,4,10,0
2,2,36,6,5,1
1,1,44,10,2,1
4,3,57,10,7,0
3,2,52,10,2,1
4,4,41,4,10,0
1,0,22,6,9,0
3,2,36,6,6,0
3,2,43,8,7,0
1,0,38,10,6,0
2,1,29,6,3,1
4,4,38,4,6,0
1,1,37,8,4,1
1,1,39,8,6,0
1,0,16,4,4,1
2,2,50,10,3,1
3,3,32,4,6,1
4,3,35,4,9,0
2,2,26,4,9,0
1,1,28,6,7,1
1,0,24,6,7,1
4,3,58,10,1,1
1,0,14,4,5,1
2,2,27,4,4,1
3,2,44,8,4,1
1,0,24,6,5,1
1,0,25,6,3,1
4,4,46,6,4,1
3,3,56,10,6,0
4,4,41,4,5,1
3,2,50,10,2,1
4,3,35,4,10,0
4,4,64,10,3,0
4,4,63,10,4,0
3,2,53,10,4,0
4,4,57,8,4,0
3,2,45,8,2,1
4,4,57,8,2,1
4,3,40,6,4,1
2,2,43,8,4,1
4,4,57,8,7,0
3,3,41,6,3,1
1,1,31,6,8,0
4,4,62,10,6,0
3,3,41,6,6,0
1,0,23,6,7,1
1,0,40,10,5,1
1,1,39,8,5,1
4,4,62,10,4,0
4,4,63,10,6,0
1,0,39,10,4,1
4,4,65,10,7,0
2,2,50,10,7,0
3,2,29,4,4,1
3,2,35,6,3,1
4,4,48,6,5,0
4,3,56,10,2,1
2,2,52,10,6,0
4,4,46,6,3,1
4,4,40,4,7,0
2,1,36,8,8,0
4,3,50,8,4,1
1,1,22,4,6,1
3,3,59,10,7,0
3,2,35,6,8,0
3,3,49,8,8,0
1,0,25,6,9,0
3,3,56,10,6,0
3,2,37,6,4,1
2,1,29,6,9,0
1,1,39,8,6,0
1,0,33,8,2,1
1,1,30,6,8,0
1,0,16,4,8,1
3,2,45,8,3,1
2,2,43,8,6,0
4,4,64,10,5,0
4,4,64,10,3,0
2,2,45,8,5,0
1,0,17,4,4,1
3,2,50,10,3,1
3,3,59,10,1,1
2,2,50,10,4,1
3,3,49,8,4,1
2,1,20,4,9,0
3,3,41,6,8,0
2,1,21,4,5,1
3,2,27,4,6,1
1,0,41,10,5,1
1,1,21,4,4,1
3,2,45,8,5,0
3,3,49,8,8,0
1,1,36,8,2,1
2,2,27,4,9,0
3,3,41,6,4,1
1,1,21,4,5,1
3,2,34,6,9,0
4,3,51,8,4,0
1,1,30,6,4,1
4,3,51,8,7,0
2,1,39,8,3,1
1,1,28,6,5,1
1,0,25,6,3,1
4,3,32,4,7,0
4,3,48,8,7,0
3,2,36,6,8,0
4,3,48,8,6,0
1,0,16,4,9,0
4,3,41,6,3,1
3,3,56,10,2,1
4,4,56,8,7,0
2,1,36,8,6,0
3,2,45,8,4,1
1,1,30,6,4,1
4,4,38,4,4,1
1,0,40,10,1,1
1,1,39,8,3,1
1,1,45,10,6,0
3,2,29,4,4,1
3,2,44,8,7,0
4,4,47,6,5,0
4,3,57,10,4,0
1,0,33,8,2,1
3,3,33,4,6,1
2,1,36,8,5,1
4,4,48,6,8,0
2,2,45,8,6,0
2,2,53,10,4,0
1,1,22,4,6,1
2,1,29,6,6,1
3,2,42,8,4,1
2,2,35,6,8,0
3,2,35,6,4,1
3,2,44,8,3,1
2,2,45,8,6,0
1,1,36,8,3,1
2,1,36,8,4,1
3,3,42,6,3,1
4,4,65,10,7,0
3,2,37,6,7,0
1,0,40,10,3,1
1,1,21,4,4,1
1,1,46,10,7,0
4,4,63,10,7,0
3,2,29,4,6,1
1,0,30,8,8,0
4,4,64,10,6,0
4,3,49,8,2,1
4,4,39,4,6,0
2,2,52,10,1,1
4,3,40,6,9,0
1,0,38,10,6,0
3,2,37,6,8,0
3,3,48,8,8,0
4,3,33,4,5,1
1,0,33,8,2,1
2,2,50,10,2,1
2,1,20,4,10,0
3,3,32,4,4,1
2,2,28,4,9,0
4,3,56,10,2,1
3,2,53,10,6,0
1,1,20,4,10,0
2,1,44,10,4,1
2,1,31,6,7,0
1,0,39,10,7,0
2,1,39,8,3,1
4,3,33,4,8,0
4,3,34,4,4,1
2,1,22,4,10,0
3,2,45,8,3,1
4,3,56,10,3,1
3,3,56,10,6,0
1,0,38,10,4,1
3,2,26,4,10,0
1,0,30,8,7,0
3,3,34,4,8,0
4,3,56,10,4,0
1,0,31,8,5,1
3,3,32,4,6,1
3,2,45,8,8,0
1,0,39,10,5,1
4,4,57,8,4,0
3,3,42,6,9,0
1,0,15,4,7,1
4,4,63,10,5,0
3,3,32,4,10,0
4,4,39,4,6,0
4,4,40,4,9,0
1,0,30,8,3,1
2,2,53,10,6,0
3,2,26,4,8,0
2,2,27,4,10,0
1,0,39,10,4,1
4,4,48,6,5,0
3,3,42,6,3,1
3,2,28,4,9,0
3,2,28,4,4,1
1,1,30,6,9,0
2,1,39,8,4,1
3,3,35,4,6,1
4,4,38,4,8,0
2,2,35,6,3,1
2,1,36,8,3,1
2,1,46,10,6,0
2,1,21,4,6,1
1,1,22,4,9,0
2,1,46,10,6,0
3,3,56,10,4,0
2,2,43,8,7,0
1,0,31,8,8,0
1,1,29,6,7,0
3,2,27,4,5,1
3,3,56,10,7,0
4,4,49,6,4,1
2,2,43,8,6,0
1,0,39,10,5,1
1,1,28,6,9,0
1,0,17,4,8,1
3,2,44,8,6,0
4,3,43,6,6,0
3,3,49,8,2,1
1,0,16,4,9,0
2,2,37,6,8,0
4,4,65,10,5,0
2,2,35,6,5,1
2,1,38,8,4,1
3,2,27,4,8,0
2,1,45,10,1,1
2,1,29,6,6,1
1,0,39,10,5,1
2,2,42,8,3,1
3,2,36,6,7,0
1,1,30,6,9,0
4,3,41,6,3,1
1,0,16,4,4,1
1,0,22,6,8,0
3,2,45,8,3,1
4,3,43,6,7,0
2,2,29,4,5,1
2,1,46,10,2,1
2,2,44,8,8,0
1,0,14,4,4,1
1,0,22,6,6,1
1,0,17,4,4,1
3,3,50,8,3,1
2,2,51,10,3,1
3,2,37,6,7,0
4,4,39,4,4,1
4,4,54,8,3,1
3,2,42,8,6,0
1,0,41,10,4,1
2,2,50,10,4,1
4,3,48,8,2,1
1,0,24,6,3,1
4,3,49,8,2,1
2,1,47,10,7,0
3,2,44,8,7,0
3,3,40,6,5,1
1,0,22,6,8,0
3,3,32,4,6,1
4,3,43,6,4,1
3,3,33,4,7,0
3,2,44,8,4,1
3,2,29,4,7,0
1,0,39,10,4,1
2,1,45,10,3,1
3,2,53,10,5,0
4,3,43,6,8,0
1,0,22,6,5,1
1,1,39,8,4,1
2,2,27,4,9,0
2,2,53,10,5,0
2,1,45,10,5,0
1,0,23,6,4,1
3,2,37,6,7,0
4,4,41,4,8,0
3,2,37,6,8,0
3,2,50,10,3,1
1,1,44,10,6,0
3,3,51,8,6,0
1,1,47,10,1,1
4,3,59,10,3,0
4,3,32,4,7,0
4,4,41,4,7,0
4,3,50,8,3,1
4,4,62,10,1,1
1,0,38,10,2,1
3,3,33,4,8,0
4,4,56,8,3,1
2,2,34,6,8,0
3,2,43,8,3,1
3,3,40,6,9,0
1,1,21,4,10,0
3,2,28,4,6,1
2,2,27,4,6,1
3,3,49,8,8,0
1,1,38,8,2,1
3,2,29,4,6,1
4,3,49,8,8,0
1,1,47,10,6,0
2,1,45,10,7,0
1,1,47,10,5,0
3,2,50,10,3,1
3,2,51,10,3,1
3,2,26,4,6,1
2,1,38,8,4,1
3,2,35,6,8,0
3,2,34,6,8,0
4,3,49,8,4,1
2,1,36,8,6,0
1,0,33,8,6,1
4,4,62,10,3,0
2,2,53,10,4,0
4,4,56,8,7,0
2,2,26,4,5,1
4,4,46,6,5,0
3,2,27,4,5,1
3,3,40,6,4,1
1,1,45,10,1,1
3,2,51,10,1,1
1,0,41,10,6,0
1,1,36,8,7,0
1,0,24,6,8,0
3,3,51,8,6,0
4,3,50,8,2,1
3,2,43,8,7,0
1,0,23,6,6,1
1,0,30,8,6,1
4,4,48,6,6,0
1,1,46,10,7,0
2,1,22,4,7,1
3,3,51,8,8,0
2,2,29,4,6,1
3,3,35,4,4,1
1,1,37,8,7,0
2,1,39,8,4,1
4,3,51,8,3,1
2,2,51,10,5,0
2,2,34,6,7,0
2,1,22,4,4,1
2,1,39,8,4,1
3,2,34,6,5,1
3,3,50,8,3,1
1,1,39,8,5,1
2,1,21,4,4,1
1,0,23,6,5,1
3,3,59,10,2,1
4,3,58,10,2,1
3,2,27,4,4,1
2,2,35,6,4,1
2,1,21,4,8,1
3,3,58,10,2,1
1,0,24,6,3,1
1,0,23,6,9,0
2,2,27,4,10,0
4,4,55,8,4,0
1,1,47,10,2,1
2,2,50,10,6,0
2,1,28,6,5,1
1,1,36,8,2,1
1,0,40,10,4,1
1,0,33,8,8,0
3,2,44,8,3,1
4,4,49,6,4,1
3,3,57,10,1,1
1,0,22,6,6,1
4,4,57,8,8,0
3,2,26,4,10,0
1,1,46,10,3,1
3,3,42,6,4,1
1,1,21,4,10,0
1,1,39,8,7,0
1,1,29,6,7,0
2,1,21,4,8,1
4,4,63,10,3,0
1,1,47,10,2,1
3,3,33,4,4,1
3,3,57,10,1,1
1,0,31,8,5,1
3,3,41,6,4,1
3,3,33,4,6,1
4,4,54,8,6,0
2,2,27,4,8,0
1,1,29,6,8,0
4,4,38,4,9,0
1,1,36,8,7,0
1,1,22,4,10,0
4,3,59,10,6,0
1,0,15,4,4,1
4,4,55,8,5,0
4,3,43,6,5,0
4,4,65,10,2,0
1,0,23,6,4,1
1,1,36,8,2,1
3,3,51,8,4,0
4,3,59,10,1,1
2,1,37,8,5,1
4,4,56,8,2,1
2,1,46,10,6,0
2,2,26,4,10,0
1,0,22,6,8,0
4,3,40,6,3,1
1,1,28,6,5,1
4,4,62,10,5,0
3,3,51,8,8,0
3,3,48,8,8,0
3,3,50,8,3,1
3,2,29,4,4,1
3,2,52,10,6,0
3,2,34,6,5,1
3,3,51,8,8,0
3,2,45,8,8,0
1,1,28,6,6,1
3,2,45,8,7,0
2,2,35,6,4,1
3,2,26,4,6,1
2,2,28,4,10,0
3,3,51,8,4,0
3,3,42,6,5,1
4,4,64,10,4,0
2,1,23,4,6,1
1,0,24,6,5,1
1,1,39,8,5,1
2,1,23,4,7,1
2,1,36,8,6,0
4,3,33,4,8,0
3,3,48,8,7,0
2,1,21,4,9,0
2,1,29,6,4,1
3,3,51,8,2,1
2,2,52,10,7,0
4,3,57,10,7,0
4,4,46,6,7,0
2,2,34,6,3,1
3,2,28,4,5,1
4,3,34,4,10,0
3,2,29,4,10,0
2,2,34,6,6,1
4,4,54,8,5,0
4,4,49,6,7,0
4,3,33,4,10,0
3,2,29,4,10,0
2,1,23,4,4,1
4,3,42,6,5,1
4,4,63,10,3,0
1,0,25,6,6,1
1,0,24,6,5,1
2,1,20,4,6,1
1,0,22,6,3,1
2,2,37,6,6,0
2,1,31,6,6,1
3,2,29,4,10,0
3,2,45,8,8,0
4,4,39,4,6,0
3,3,49,8,2,1
1,1,20,4,7,1
1,0,22,6,7,1
3,3,58,10,6,0
1,0,38,10,3,1
3,2,44,8,2,1
4,4,39,4,9,0
4,4,57,8,5,0
2,1,28,6,8,0
3,2,26,4,7,1
1,1,29,6,8,0
2,2,45,8,2,1
1,0,25,6,7,1
4,4,65,10,3,0
1,1,38,8,5,1
3,2,50,10,7,0
2,1,39,8,8,0
4,4,39,4,6,0
4,4,48,6,8,0
3,3,35,4,8,0
4,3,59,10,5,0
1,0,38,10,7,0
3,2,44,8,3,1
1,0,32,8,4,1
2,1,47,10,3,1
4,4,55,8,7,0
4,3,34,4,7,0
4,4,56,8,2,1
1,0,17,4,7,1
4,4,49,6,4,1
1,1,22,4,6,1
4,3,57,10,1,1
1,0,38,10,2,1
1,1,22,4,9,0
3,2,34,6,9,0
3,3,50,8,8,0
4,3,50,8,4,1
1,1,46,10,3,1
3,3,51,8,2,1
3,3,32,4,4,1
2,2,42,8,2,1
4,3,43,6,5,0
4,4,40,4,7,0
2,2,52,10,4,0
3,2,51,10,5,0
1,1,28,6,5,1
1,1,36,8,8,0
2,2,53,10,1,1
3,3,49,8,4,1
3,3,41,6,6,0
3,2,45,8,8,0
2,1,28,6,9,0
2,1,22,4,7,1
3,3,58,10,2,1
1,0,41,10,4,1
3,2,43,8,6,0
4,4,48,6,9,0
2,1,37,8,3,1
3,2,27,4,4,1
4,4,40,4,8,0
2,1,39,8,6,0
2,2,53,10,3,1
2,2,43,8,8,0
4,4,48,6,9,0
4,4,39,4,7,0
3,3,48,8,3,1
4,3,58,10,4,0
4,3,51,8,8,0
1,0,23,6,4,1
1,1,46,10,1,1
4,3,51,8,8,0
4,4,57,8,8,0
2,2,51,10,7,0
4,3,49,8,2,1
4,4,40,4,6,0
4,3,40,6,8,0
3,2,45,8,6,0
1,0,33,8,4,1
3,3,51,8,4,0
3,2,43,8,7,0
4,3,58,10,4,0
2,1,29,6,8,0
2,2,29,4,10,0
2,2,29,4,6,1
4,4,64,10,4,0
4,4,47,6,5,0
3,2,27,4,5,1
3,2,26,4,10,0
2,1,31,6,6,1
4,4,56,8,8,0
4,3,41,6,8,0
3,2,51,10,7,0
3,2,44,8,5,0
2,1,20,4,4,1
4,4,65,10,5,0
3,3,33,4,8,0
1,1,44,10,1,1
1,1,47,10,5,0
1,0,24,6,5,1
2,2,27,4,5,1
4,3,49,8,8,0
1,1,36,8,5,1
3,2,44,8,2,1
1,1,31,6,6,1
1,0,22,6,6,1
2,1,39,8,3,1
3,2,53,10,6,0
4,4,47,6,6,0
4,4,57,8,7,0
1,1,46,10,3,1
3,3,49,8,5,0
1,1,23,4,10,0
3,2,50,10,7,0
1,1,45,10,3,1
2,2,36,6,5,1
1,1,46,10,3,1
1,0,25,6,3,1
2,2,50,10,2,1
3,3,42,6,5,1
3,3,34,4,6,1
3,2,27,4,9,0
2,1,30,6,4,1
1,0,15,4,4,1
4,3,57,10,4,0
1,1,29,6,3,1
3,2,45,8,5,0
3,2,52,10,3,1
2,2,45,8,2,1
4,3,34,4,8,0
4,4,39,4,4,1
2,2,28,4,7,1
1,0,23,6,7,1
1,1,37,8,5,1
1,1,28,6,5,1
2,2,34,6,5,1
1,0,41,10,5,1
2,1,20,4,10,0
1,0,41,10,6,0
4,4,39,4,4,1
4,3,48,8,2,1
3,3,35,4,5,1
2,2,27,4,10,0
3,2,35,6,7,0
4,3,32,4,10,0
3,3,33,4,6,1
1,1,22,4,5,1
2,1,22,4,5,1
2,2,44,8,7,0
3,3,50,8,3,1
4,3,56,10,3,1
3,2,29,4,10,0
1,1,29,6,4,1
2,2,45,8,2,1
3,2,50,10,7,0
1,1,37,8,7,0
2,1,30,6,3,1
3,3,32,4,7,0
2,1,30,6,9,0
1,0,23,6,6,1
4,3,50,8,4,1
1,1,44,10,3,1
4,4,63,10,2,1
2,1,22,4,5,1
2,1,38,8,2,1
4,4,57,8,6,0
2,1,22,4,10,0
2,1,28,6,8,0
2,2,35,6,8,0
1,1,37,8,7,0
3,2,53,10,5,0
2,2,42,8,2,1
4,3,50,8,4,1
3,2,34,6,5,1
1,0,31,8,2,1
2,2,29,4,5,1
2,1,44,10,7,0
3,2,34,6,8,0
4,3,40,6,6,0
2,1,28,6,4,1
2,2,37,6,9,0
3,3,56,10,3,1
3,3,57,10,5,0
1,0,25,6,5,1
4,3,51,8,7,0
3,2,26,4,4,1
4,3,42,6,9,0
4,4,41,4,9,0
4,3,32,4,9,0
3,2,29,4,7,0
4,4,49,6,8,0
1,1,39,8,6,0
3,3,56,10,7,0
1,1,37,8,6,0
2,1,28,6,8,0
2,1,31,6,7,0
1,1,37,8,7,0
2,1,47,10,6,0
3,2,53,10,7,0
1,1,31,6,3,1
4,4,64,10,2,1
1,0,39,10,3,1
1,0,31,8,7,0
1,0,38,10,6,0
2,1,36,8,4,1
1,0,33,8,5,1
1,0,30,8,7,0
2,1,31,6,9,0
1,1,44,10,2,1
2,2,52,10,1,1
2,2,42,8,4,1
4,4,62,10,3,0
3,3,43,6,7,0
4,4,48,6,7,0
3,2,27,4,8,0
1,1,31,6,6,1
3,2,44,8,4,1
2,2,26,4,7,1
1,0,17,4,4,1
2,1,47,10,5,0
2,2,35,6,5,1
1,0,30,8,4,1
3,2,37,6,9,0
4,4,41,4,7,0
3,2,35,6,4,1
2,1,31,6,5,1
2,1,31,6,9,0
1,0,24,6,8,0
1,0,24,6,6,1
2,1,39,8,5,1
3,3,50,8,6,0
3,2,43,8,6,0
2,1,39,8,7,0
4,4,48,6,9,0
4,3,48,8,7,0
4,4,62,10,1,1
4,3,34,4,9,0
2,1,36,8,6,0
4,4,57,8,7,0
4,4,64,10,6,0
1,1,31,6,3,1
4,3,32,4,6,1
2,2,27,4,6,1
3,3,49,8,3,1
4,4,38,4,9,0
2,1,45,10,2,1
4,3,34,4,9,0
1,0,33,8,7,0
3,3,48,8,6,0
3,2,28,4,9,0
1,1,36,8,5,1
3,3,34,4,6,1
3,2,53,10,7,0
3,2,27,4,10,0
2,1,30,6,6,1
1,0,33,8,3,1
2,2,52,10,2,1
1,0,17,4,7,1
3,2,42,8,8,0
4,3,42,6,3,1
2,2,52,10,3,1
1,1,30,6,4,1
1,0,38,10,6,0
1,0,15,4,8,1
1,1,39,8,8,0
3,2,45,8,6,0
3,2,28,4,10,0
3,2,28,4,9,0
